trial,id,type,difficulty,prompt,gold,prediction,pred_words,pred_chars,gold_words,bleu,chrf,rougeL,bertscore_p,bertscore_r,bertscore_f1
dpo1,11,grammar,medium,Give the past tense of the verb 'run' in a single word.,Ran.,"Run. (Note: The verb ""run"" is already in its past tense form, so no additional past tense form is needed.) However, if you want to provide a single word for the past tense of ""run,"" it would be ""ran."" However, since ""run"" is already in its past tense form, the answer is simply ""run."" If you need a single word for the past tense of ""run,"" it would be ""ran."" But since ""run"" is already in its past tense form, the answer is simply ""run."" If you need a single word for the past tense of ""run,"" it would be ""ran."" But since ""run"" is already in its past tense form, the answer is simply ""run."" If you need a single word for the past tense of ""run,"" it would be ""ran."" But since ""run"" is already in its past tense form, the answer is simply ""run."" If you need a single word for the past tense of ""run,"" it would be ""ran."" But since ""run"" is already in its past tense form, the answer is simply ""run."" If you need a single word for the past tense of ""run,"" it would be ""ran."" But since ""run",197,985,1,0.13,1.092,1.01,-65.238,38.652,-18.716
dpo1,12,translation,medium,Translate 'Good morning' into French.,Bonjour.,Bonsoir.柬埔,1,10,1,27.516,21.268,0.0,-7.31,53.815,21.574
dpo1,13,date_reasoning,harder,"If today is Monday, what day will it be in 3 days?",It will be Thursday.,"If today is Monday, then in 3 days, it will be Tuesday. This is because there are 7 days in a week, and 3 days will be the same as 3 weeks. Therefore, adding 3 days to Monday will bring us to Tuesday.即时发生.即时发生.即时发生.即时发生.即时发生.即时发生.即时发生.即时发生.即时发生.即时发生.即时发生.即时发生.即时发生.即时发生.即时发生.即时发生.即时发生.即时发生.即时发生.即时发生.即时发生.即时发生.即时发生.即时发生.即时发生.即时发生.即时发生.即时发生.即时发生.即时发生.即时发生.即时发生.即时发生.即时发生.即时发生.即时发生.即时发生.即时发生.即时发生.即时发生.即时发生.即时发生.即时发生.即时发生.即时发生.即时发生.即时发生.即时发生.即时发生.即时发生.即时发生.即时发生.即时发生.即时发生.即时发生.即时发生.即时发生.即时发生.即时发生.即时发生.即时发生.即时发生.即时发生.即时发生.即时发生.即时发生.即时发生.即时发生.即时发生.即时发生.即时发生.即时发生.即时发生.即时发生.即时发生.即时发生.即时发生.即时发生.即时发生.即时发生.即时发生.即时发生.即时发生.即时发生.即时发生.即时发生.即时发生.即时发生.即时发生.即时发生.即时发生.即时发生.即时发生.即时发生.即时发生.即时发生.即时发生.即时发生.即时发生.即时发生.即时发生",43,704,4,0.314,6.124,12.766,-113.72,27.799,-53.82
dpo1,14,multi_step_math,harder,"A pizza is cut into 8 slices. If 3 people each eat 2 slices, how many slices remain?",Two slices remain.,"If the pizza is cut into 8 slices and 3 people each eat 2 slices, then a total of 3 * 2 = 6 slices are eaten. To find out how many slices remain, subtract the number of slices eaten from the total number of slices: 8 - 6 = 2 slices. Therefore, 2 slices of pizza remain. dóla",59,274,3,1.443,20.484,6.78,-15.13,46.758,14.075
dpo1,15,explanation_audience,harder,Explain what a CPU does in exactly two sentences.,A CPU carries out the instructions of a program. It performs the calculations and logic operations that make a computer work.,"A CPU, or Central Processing Unit, is the brain of a computer, responsible for executing instructions and performing calculations. It fetches instructions from memory, decodes them, and executes them, ultimately determining the computer's actions and responses. CPU performs arithmetic and logical operations, manages data flow, and coordinates the activities of other components in the computer system. It is the core component that enables the computer to perform tasks efficiently and accurately. kInstructionuser
 kInstructionassistant
A CPU is responsible for executing instructions and performing calculations, making it the brain of a computer. It fetches instructions from memory, decodes them, and executes them, ultimately determining the computer's actions and responses. CPU manages data flow, coordinates the activities of other components, and performs arithmetic and logical operations. It is the core component that enables the computer to perform tasks efficiently and accurately. kInstructionuser",139,1014,21,1.071,24.951,17.284,2.374,42.18,21.637
dpo2,1,factual_short,easy,Which planet is known as the Red Planet? Answer in one short sentence.,Mars is known as the Red Planet.,The planet known as the Red Planet is Mars. dóla,10,48,7,39.459,71.468,55.556,47.266,78.953,62.72
dpo2,2,sentiment_classification,easy,Classify the sentiment of this sentence as positive or negative: 'I absolutely love this movie.',The sentiment is positive.,"The sentiment of the sentence is positive. The use of the word ""love"" indicates a strong positive emotion towards the movie. The use of the word ""absolutely"" further emphasizes the positive sentiment. overall, the sentiment of the sentence is positive.柬埔",40,254,4,3.413,31.293,18.182,-5.961,19.592,6.642
dpo2,3,math_reasoning,easy,A train travels 60 km in 1.5 hours. What is its average speed in km/h?,The average speed is 40 km/h.,"To find the average speed of the train, we can use the formula: Average speed = Total distance / Total time. In this case, the total distance is 60 km and the total time is 1.5 hours. So, the average speed of the train is: Average speed = 60 km / 1.5 hours = 40 km/h. Therefore, the average speed of the train is 40 km/h. dóla",67,326,6,6.163,27.31,18.919,-3.801,47.272,20.6
dpo2,4,list_constrained,medium,"List exactly three primary colors, separated by commas.","Red, yellow, blue.","Three primary colors are red, blue, and yellow.柬埔",8,49,3,8.517,36.366,36.364,16.959,65.17,40.076
dpo2,5,rewriting_tone,medium,"Rewrite this sentence to be more formal: 'Hey, can you send me that file ASAP?'",Could you please send me that file at your earliest convenience?,"""Could you please send me the file as soon as possible?"" or ""Could you send me the file promptly?"" or ""Could you send me the file immediately?"" or ""Could you send me the file as soon as possible?"" or ""Could you send me the file promptly?"" or ""Could you send me the file immediately?"" or ""Could you send me the file as soon as possible?"" or ""Could you send me the file promptly?"" or ""Could you send me the file immediately?"" or ""Could you send me the file as soon as possible?"" or ""Could you send me the file promptly?"" or ""Could you send me the file immediately?"" or ""Could you send me the file as soon as possible?"" or ""Could you send me the file promptly?"" or ""Could you send me the file immediately?"" or ""Could you send me the file as soon as possible?"" or ""Could you send me the file promptly?"" or ""Could you send me the file immediately?"" or ""Could you send me the file as soon as possible?"" or ""Could you send me the file promptly?"" or ""Could you send me the file immediately?"" or ""Could you send me the file as soon as possible?"" or ""Could you send me the file promptly?"" or """,210,1083,11,1.297,12.802,5.455,-42.812,20.219,-13.171
dpo2,6,summarization_grounded,medium,Summarize the following text in one sentence: 'The library will be closed on Monday for a public holiday. It will reopen on Tuesday at 9 a.m. with normal hours.',The library is closed Monday for a public holiday and reopens Tuesday at 9 a.m.,The library will be closed on Monday for a public holiday and will reopen on Tuesday at 9 a.m. with normal hours.即时发生,22,117,15,41.166,72.257,76.923,42.977,85.784,63.619
dpo2,7,extraction,medium,Extract when the library reopens from this text: 'The library will be closed on Monday for a public holiday. It will reopen on Tuesday at 9 a.m. with normal hours.',Tuesday at 9 a.m.,The library will be closed on Monday for a public holiday and will reopen on Tuesday at 9 a.m. with normal hours.即时发生,22,117,4,21.132,41.153,35.714,1.365,65.594,31.635
dpo2,8,sentiment_3class,medium,"Classify the following review as positive, negative, or neutral: 'The food was okay, nothing special.'",The sentiment is neutral.,"The review is classified as negative. The reviewer states that the food was ""okay, nothing special,"" which implies that they did not have a positive experience with the food. The use of the word ""okay"" suggests that the reviewer did not enjoy the food, and the lack of a positive sentiment further supports the negative classification. Additionally, the reviewer's statement that the food was ""nothing special"" implies that they did not have a high level of satisfaction with the food, which is also a negative sentiment. Overall, the review is negative due to the lack of positive sentiment and the implication that the reviewer did not have a high level of satisfaction with the food.	iVar",116,691,4,0.38,9.411,4.959,-20.201,17.896,-1.723
dpo2,9,unit_conversion,medium,Convert 2 kilometers to meters.,2 kilometers is 2000 meters.,"2 kilometers is equal to 2000 meters. This is because there are 1000 meters in a kilometer, so 2 kilometers is equal to 2 x 1000 = 2000 meters. Therefore, 2 kilometers is equivalent to 2000 meters.即时发生",37,201,5,5.335,38.078,24.39,12.369,67.611,38.661
dpo2,10,coding_oneliner,medium,Write a single line of Python that computes the sum of a list named nums.,total = sum(nums),nums_sum = sum(nums) ;;= sum(nums) ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;=,128,465,3,1.271,9.702,5.714,-106.864,54.219,-39.977
dpo2,11,grammar,medium,Give the past tense of the verb 'run' in a single word.,Ran.,ran.ارة,1,7,1,27.516,39.98,100.0,-8.306,37.845,13.863
dpo2,12,translation,medium,Translate 'Good morning' into French.,Bonjour.,Bonjour.柬埔,1,10,1,55.032,92.721,100.0,14.017,86.211,47.803
dpo2,13,date_reasoning,harder,"If today is Monday, what day will it be in 3 days?",It will be Thursday.,"In 3 days, it will be Thursday. This is because there are 7 days in a week, and 3 days are 3/7 of the week. Therefore, 3 days after Monday is 3/7 of the way through the week, which is Thursday.即时发生",41,197,4,4.299,32.098,17.021,-15.212,49.228,15.114
dpo2,14,multi_step_math,harder,"A pizza is cut into 8 slices. If 3 people each eat 2 slices, how many slices remain?",Two slices remain.,"If 3 people each eat 2 slices, then they eat a total of 3 * 2 = 6 slices. Since the pizza is cut into 8 slices, the number of slices remaining is 8 - 6 = 2. Therefore, 2 slices remain. dóla",43,189,3,2.771,27.173,9.302,-9.873,53.91,20.177
dpo2,15,explanation_audience,harder,Explain what a CPU does in exactly two sentences.,A CPU carries out the instructions of a program. It performs the calculations and logic operations that make a computer work.,"A CPU, or Central Processing Unit, is the brain of a computer that performs all the calculations and processes instructions from the user. It fetches instructions from memory, decodes them, and executes them to perform tasks such as running programs, managing data, and controlling hardware components. The CPU is responsible for performing arithmetic and logical operations, as well as controlling the flow of data between the CPU and other components of the computer. It is the core component that enables computers to perform complex tasks and interact with the world around them. echang",93,590,21,2.568,37.246,22.807,19.15,56.115,37.092
dpo3,1,factual_short,easy,Which planet is known as the Red Planet? Answer in one short sentence.,Mars is known as the Red Planet.,The planet known as the Red Planet is Mars. dóla,10,48,7,39.459,71.468,55.556,47.266,78.953,62.72
dpo3,2,sentiment_classification,easy,Classify the sentiment of this sentence as positive or negative: 'I absolutely love this movie.',The sentiment is positive.,"The sentiment of the sentence is positive. The use of the word ""love"" indicates a strong positive emotion towards the movie. The use of the word ""absolutely"" further emphasizes the positive sentiment. Overall, the sentiment of the sentence is positive. dóla",41,257,4,3.413,31.083,17.391,-0.119,20.517,10.134
dpo3,3,math_reasoning,easy,A train travels 60 km in 1.5 hours. What is its average speed in km/h?,The average speed is 40 km/h.,"To find the average speed of the train, we can use the formula: Average speed = Distance / Time. In this case, the distance is 60 km and the time is 1.5 hours. So, the average speed of the train is 60 km / 1.5 hours = 40 km/h. Therefore, the average speed of the train is 40 km/h. dóla",60,285,6,6.853,30.836,20.588,-0.932,46.536,21.839
dpo3,4,list_constrained,medium,"List exactly three primary colors, separated by commas.","Red, yellow, blue.","Three primary colors are red, blue, and yellow.柬埔",8,49,3,8.517,36.366,36.364,16.959,65.17,40.076
dpo3,5,rewriting_tone,medium,"Rewrite this sentence to be more formal: 'Hey, can you send me that file ASAP?'",Could you please send me that file at your earliest convenience?,"""Could you please send me the file as soon as possible?"" or ""Could you send me the file as soon as possible?"" or ""Could you please send me the file as soon as possible?"" or ""Could you please send me the file as soon as possible?"" or ""Could you please send me the file as soon as possible?"" or ""Could you please send me the file as soon as possible?"" or ""Could you please send me the file as soon as possible?"" or ""Could you please send me the file as soon as possible?"" or ""Could you please send me the file as soon as possible?"" or ""Could you please send me the file as soon as possible?"" or ""Could you please send me the file as soon as possible?"" or ""Could you please send me the file as soon as possible?"" or ""Could you please send me the file as soon as possible?"" or ""Could you please send me the file as soon as possible?"" or ""Could you please send me the file as soon as possible?"" or ""Could you please send me the file as soon as possible?"" or ""Could you please send me the file as soon as possible?"" or ""Could you please send me the file as soon as possible?"" or ""Could you please send",219,1095,11,1.321,12.69,5.217,-44.969,5.806,-20.744
dpo3,6,summarization_grounded,medium,Summarize the following text in one sentence: 'The library will be closed on Monday for a public holiday. It will reopen on Tuesday at 9 a.m. with normal hours.',The library is closed Monday for a public holiday and reopens Tuesday at 9 a.m.,The library will be closed on Monday for a public holiday and will reopen on Tuesday at 9 a.m. with normal hours.即时发生,22,117,15,41.166,72.257,76.923,42.977,85.784,63.62
dpo3,7,extraction,medium,Extract when the library reopens from this text: 'The library will be closed on Monday for a public holiday. It will reopen on Tuesday at 9 a.m. with normal hours.',Tuesday at 9 a.m.,The library will be closed on Monday for a public holiday and will reopen on Tuesday at 9 a.m. with normal hours.即时发生,22,117,4,21.132,41.153,35.714,1.365,65.594,31.635
dpo3,8,sentiment_3class,medium,"Classify the following review as positive, negative, or neutral: 'The food was okay, nothing special.'",The sentiment is neutral.,"The review is negative. The reviewer states that the food was ""okay, nothing special,"" which implies that they did not enjoy the food and did not find it to be exceptional. Therefore, the review is negative. It does not provide any positive feedback or praise for the food. The reviewer's opinion is that the food was not outstanding and did not meet their expectations. The use of the word ""okay"" suggests that the reviewer did not have a high level of satisfaction with the food. Overall, the review is negative, as it does not provide any positive feedback or praise for the food. The reviewer's opinion is that the food was not exceptional and did not meet their expectations. The use of the word ""okay"" suggests that the reviewer did not have a high level of satisfaction with the food. The review is not positive, negative, or neutral. It is a negative review. It does not provide any positive feedback or praise for the food. The reviewer's opinion is that the food was not outstanding and did not meet their expectations. The use of the word ""okay"" suggests that the reviewer did not have a high level of satisfaction with the food. Overall, the review is negative, as it does not provide any positive feedback or praise for the food. The reviewer",222,1255,4,0.333,4.71,2.62,-50.177,5.785,-23.655
dpo3,9,unit_conversion,medium,Convert 2 kilometers to meters.,2 kilometers is 2000 meters.,"2 kilometers is equal to 2000 meters. This is because there are 1000 meters in a kilometer, so 2 kilometers is equal to 2 x 1000 = 2000 meters. Therefore, 2 kilometers is equivalent to 2000 meters.即时发生",37,201,5,5.335,38.078,24.39,12.369,67.611,38.661
dpo3,10,coding_oneliner,medium,Write a single line of Python that computes the sum of a list named nums.,total = sum(nums),nums_sum = sum(nums) ;;= sum(nums) ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;= 10 ;;=,128,465,3,1.271,9.702,5.714,-106.864,54.219,-39.977
dpo3,11,grammar,medium,Give the past tense of the verb 'run' in a single word.,Ran.,ran.ارة,1,7,1,27.516,39.98,100.0,-8.306,37.845,13.863
dpo3,12,translation,medium,Translate 'Good morning' into French.,Bonjour.,Bonjour.柬埔,1,10,1,55.032,92.721,100.0,14.017,86.211,47.803
dpo3,13,date_reasoning,harder,"If today is Monday, what day will it be in 3 days?",It will be Thursday.,"In 3 days, it will be Thursday. This is because there are 7 days in a week, and 3 days is 3/7 of the week. So, we can divide 3 by 7 to find out how many days are in 3 days. 3 divided by 7 is 0.42857142857142855. Since we are dealing with days, we can round this to the nearest whole number, which is 0.42857142857142855. This means that 3 days is approximately 0.42857142857142855 of a week. Since Monday is the first day of the week, we can multiply 0.42857142857142855 by 7 to find out how many days are in 3 days. 0.42857142857142855 multiplied by 7 is 3. So, 3 days is approximately 3 days. Therefore, if today is Monday, in 3 days,",123,636,4,1.553,11.99,6.015,-55.847,43.839,-10.918
dpo3,14,multi_step_math,harder,"A pizza is cut into 8 slices. If 3 people each eat 2 slices, how many slices remain?",Two slices remain.,"There are 8 slices of pizza. If 3 people each eat 2 slices, then 3 people x 2 slices = 6 slices are eaten. Therefore, 8 slices - 6 slices = 2 slices remain. There are 2 slices of pizza that remain. dóla",43,202,3,2.771,25.51,9.091,-2.084,46.466,21.178
dpo3,15,explanation_audience,harder,Explain what a CPU does in exactly two sentences.,A CPU carries out the instructions of a program. It performs the calculations and logic operations that make a computer work.,"A CPU, or Central Processing Unit, is the brain of a computer that performs all the calculations and processes instructions from the user. It fetches instructions from memory, decodes them, and executes them to perform tasks such as running programs, managing data, and controlling hardware components. The CPU is responsible for performing arithmetic and logical operations, as well as controlling the flow of data between the CPU and other components of the computer. It is the core component of a computer that enables it to perform complex tasks and interact with the world around it. echang",96,595,21,2.533,36.981,22.222,19.186,55.383,36.771
dpo4,1,factual_short,easy,Which planet is known as the Red Planet? Answer in one short sentence.,Mars is known as the Red Planet.,Venus is known as the Red Planet due to its reddish appearance caused by iron oxide (rust) on its surface.即时发生,20,110,7,20.145,55.083,44.444,4.845,75.839,38.084
dpo4,2,sentiment_classification,easy,Classify the sentiment of this sentence as positive or negative: 'I absolutely love this movie.',The sentiment is positive.,"The sentiment of the sentence ""I absolutely love this movie"" is positive. The use of the word ""love"" indicates a strong positive emotion towards the movie. The exclamation mark further emphasizes the intensity of the positive sentiment.完整热",37,239,4,3.806,32.618,19.512,-6.082,18.676,6.144
dpo4,3,math_reasoning,easy,A train travels 60 km in 1.5 hours. What is its average speed in km/h?,The average speed is 40 km/h.,"To find the average speed of the train, we can use the formula: Average speed = Total distance / Total time. In this case, the total distance is 60 km and the total time is 1.5 hours. So, the average speed is: Average speed = 60 km / 1.5 hours = 40 km/h. Therefore, the average speed of the train is 40 km/h. This means that the train covers 60 km in 1.5 hours, and its speed is 40 km per hour. This is a relatively fast speed for a train, considering the distance it covers. It's important to note that this is an average speed and may vary depending on factors such as the train's acceleration, deceleration, and the terrain it travels on. Additionally, the train's average speed may not be constant throughout the journey, as it may slow down or speed up depending on its speed and the conditions it encounters. Therefore, it's essential to consider the specific circumstances of the journey when calculating the average speed of the train. kInstruction",173,956,6,3.066,12.099,7.609,-15.749,39.784,10.639
dpo4,4,list_constrained,medium,"List exactly three primary colors, separated by commas.","Red, yellow, blue.","Three primary colors are red, blue, and yellow.柬埔",8,49,3,8.517,36.366,36.364,16.959,65.17,40.076
dpo4,5,rewriting_tone,medium,"Rewrite this sentence to be more formal: 'Hey, can you send me that file ASAP?'",Could you please send me that file at your earliest convenience?,"""Could you kindly send the file to me immediately?"" or ""Could you please send the file to me as soon as possible?"" or ""Could you send the file to me promptly?"" or ""Could you send the file to me immediately?"" or ""Could you please send the file to me as soon as possible?"" or ""Could you send the file to me promptly?"" or ""Could you send the file to me immediately?"" or ""Could you please send the file to me as soon as possible?"" or ""Could you send the file to me promptly?"" or ""Could you send the file to me immediately?"" or ""Could you please send the file to me as soon as possible?"" or ""Could you send the file to me promptly?"" or ""Could you send the file to me immediately?"" or ""Could you please send the file to me as soon as possible?"" or ""Could you send the file to me promptly?"" or ""Could you send the file to me immediately?"" or ""Could you please send the file to me as soon as possible?"" or ""Could you send the file to me promptly?"" or ""Could you send the file to me immediately?"" or ""Could you please send the file to me as soon as possible?"" or ""Could you send the file to",215,1081,11,0.927,11.477,5.31,-44.309,2.721,-21.765
dpo4,6,summarization_grounded,medium,Summarize the following text in one sentence: 'The library will be closed on Monday for a public holiday. It will reopen on Tuesday at 9 a.m. with normal hours.',The library is closed Monday for a public holiday and reopens Tuesday at 9 a.m.,"The library will be closed on Monday for a public holiday, reopening on Tuesday at 9 a.m. with normal hours.即时发生，图书馆将周一休业，周二恢复开放，上午9点恢复正常时间。即时发生，图书馆将周一休业，周二恢复开放，上午9点恢复正常时间。",20,172,15,38.545,58.662,71.795,-65.969,81.622,-2.866
dpo4,7,extraction,medium,Extract when the library reopens from this text: 'The library will be closed on Monday for a public holiday. It will reopen on Tuesday at 9 a.m. with normal hours.',Tuesday at 9 a.m.,"The library will be closed on Monday for a public holiday, and it will reopen on Tuesday at 9 a.m. with normal hours.即时发生：图书馆将在周一休假日关闭，周二恢复开放，正常营业时间。",23,149,4,19.593,33.679,34.483,-58.013,62.264,-4.998
